zip-code,avg_sal_zip_code
5101,18824.9289648395
7134,16974.1369137168
4032,15434.7790984043
3581,18847.33
9050,18847.33
1745,18847.33
6041,13746.0680191964
4633,18847.1565997653
8460,18847.33
9950,18847.33
6060,13746.0680191964
2940,18847.33
4830,18206.6465723963
7041,19876.9844242424
6061,13746.0680191964
4970,18038.2890926884
9160,18847.33
3290,18847.33
2150,18847.33
9860,18847.33
7331,18006.2479631211
2222,18847.33
4610,16857.72006055
3545,18847.33
7712,15849.6149372947
1457,22828.118308194
4342,20209.0670896895
3500,18847.33
2320,18847.33
1472,22497.4454164524
5002,18824.9289648395
4053,24650.181635579
9290,18847.33
9041,18847.33
4250,21347.0419666475
9060,18847.33
1602,18847.33
7070,18849.11
5540,15615.3244215426
2221,18847.33
9920,18847.33
2627,18847.33
6032,13746.0680191964
4840,18408.8008025427
6150,15963.7196594402
6250,16387.3324676413
8970,19247.8428592656
8580,20026.0537864581
7033,16636.717607392
7340,13819.012981052
9310,18847.33
7330,18006.2479631211
3440,18847.33
3110,18847.33
3650,18847.33
5380,21366.3615470435
7750,18849.11
7970,17749.5402880512
9150,18847.33
9880,18847.33
7110,15102.1660424216
4880,20026.3298775318
1440,21952.1888405385
9240,18847.33
7190,18849.11
2520,18847.33
3730,19407.8313149444
3530,18847.33
9990,18847.33
3360,18847.33
8630,18847.33
6141,18849.11
1450,22045.7507130774
8940,19247.8428592656
8501,20026.0537864581
8211,18847.33
8830,18847.33
3740,19407.8313149444
1430,19120.3759584781
6940,17261.5251082213
8573,20026.0537864581
7370,15721.7282243217
5590,18100.5991200766
4280,20631.5399041055
9406,18847.33
3111,18847.33
4910,20801.6712853813
5537,18131.6447893042
4287,20743.6564420732
8340,18847.33
3960,18847.33
7050,21209.6439061015
2570,18847.33
2801,18847.33
8553,20026.0537864581
1653,18847.33
2310,18847.33
5080,22323.7837240035
8020,18847.33
6222,16636.3583245142
2547,18847.33
6183,15904.3714972594
8520,20026.0537864581
9270,18847.33
9850,18847.33
5630,17531.4609384399
7170,15391.5565811601
8650,18847.33
4171,17365.0938398814
6980,17356.0600596374
7020,16636.717607392
3700,19407.8313149444
4845,21370.1163703025
7382,15596.8440097836
7160,16536.349903411
2450,18847.33
3540,18847.33
3120,18847.33
3620,19407.8313149444
2845,18847.33
9520,18847.33
3012,18847.33
3990,18847.33
8850,18847.33
3580,18847.33
3050,18847.33
7866,17543.9607398912
7850,21436.563805702
9870,18847.33
6870,17364.7025816236
8730,18847.33
9506,18847.33
5377,17746.6732953958
5640,19270.7556732304
6530,19743.0717527035
3630,19407.8313149444
3221,18847.33
7521,18082.5351076242
6210,21035.6081366853
7860,17543.9607398912
5651,19341.634034878
7600,16578.2802021028
7021,16636.717607392
6230,20065.2002770854
4624,17796.1724117288
8760,18847.33
7950,18528.0372577617
9790,21204.1738738454
7334,18006.2479631211
5600,17151.6402401913
7911,18811.3707462182
7910,18811.3707462182
9180,18847.33
8980,19247.8428592656
4360,20138.4933657787
8740,18847.33
8972,19247.8428592656
3390,18847.33
9250,18847.33
6534,19743.0717527035
4450,20523.4806995231
1540,18847.33
3350,18847.33
3370,18847.33
9308,18847.33
2811,18847.33
3970,18847.33
3910,18847.33
8880,18847.33
2390,18847.33
4960,18215.6787504884
7131,16974.1369137168
3040,18847.33
9840,18847.33
3670,18847.33
4630,18847.1565997653
3271,18847.33
5560,17148.5114577903
3140,18847.33
7300,14699.3265363297
7120,18425.9816380977
3640,18847.33
2431,18847.33
1570,18847.33
6280,22068.0653497814
6044,13746.0680191964
4350,21195.7872052914
2430,18847.33
7740,18021.0010657872
5170,21158.329320795
6960,18368.4317614114
3890,18847.33
7130,16974.1369137168
7181,20847.2204233449
8550,20026.0537864581
7034,16636.717607392
3052,18847.33
8680,18847.33
3870,19407.8313149444
6761,18039.6623560533
7380,15596.8440097836
8720,18847.33
7864,17543.9607398912
4432,17113.9824547171
2235,18847.33
1547,21544.263640955
9960,18847.33
9968,18847.33
1981,18847.33
7011,16636.717607392
8780,18847.33
8552,20026.0537864581
1651,18847.33
7141,16640.151940915
5004,18824.9289648395
3520,18847.33
6040,13746.0680191964
6120,22850.7740129212
9930,18847.33
7140,16640.151940915
5530,20499.9424722802
8581,20026.0537864581
6030,13746.0680191964
7711,15849.6149372947
4219,19557.496665544
3272,18847.33
6042,13746.0680191964
6672,16310.2297053919
4257,20702.8701977671
7912,18811.3707462182
7601,16578.2802021028
4607,21239.5641785287
3070,18847.33
1654,18847.33
3941,18847.33
1790,18847.33
4841,18408.8008025427
6941,17261.5251082213
3320,18847.33
3770,19407.8313149444
4682,17952.2073262852
6990,16845.8226903283
5330,21234.9764019746
1421,18849.11
5570,16779.8015277929
1471,22497.4454164524
2381,18847.33
4671,20666.777861358
4590,19087.5682588488
1980,18847.33
3150,18847.33
4141,21620.516448454
6823,17151.2437361459
